Distance_(mm),Gray_Value
0.0000,51.6762
0.0061,50.9124
0.0122,50.3680
0.0182,50.1357
0.0243,50.2532
0.0304,50.5152
0.0365,50.7163
0.0426,50.5504
0.0486,50.0344
0.0547,49.4932
0.0608,49.4188
0.0669,49.9253
0.0729,50.5794
0.0790,51.2151
0.0851,51.8337
0.0912,52.4660
0.0973,52.9142
0.1033,52.8668
0.1094,52.6026
0.1155,52.4684
0.1216,52.6947
0.1277,53.1001
0.1337,53.0726
0.1398,52.9772
0.1459,53.1131
0.1520,53.4790
0.1580,53.7492
0.1641,53.0055
0.1702,51.8015
0.1763,50.9278
0.1824,50.6245
0.1884,51.0258
0.1945,51.7708
0.2006,52.4890
0.2067,53.1987
0.2128,53.7161
0.2188,53.9694
0.2249,53.7076
0.2310,53.1953
0.2371,52.8101
0.2432,52.7794
0.2492,52.7592
0.2553,52.2914
0.2614,51.5252
0.2675,51.0148
0.2735,50.8091
0.2796,50.7293
0.2857,50.8674
0.2918,51.3032
0.2979,51.9947
0.3039,52.8571
0.3100,53.6619
0.3161,54.1549
0.3222,54.1853
0.3283,53.7959
0.3343,53.3386
0.3404,52.9145
0.3465,52.2767
0.3526,51.6366
0.3586,51.1598
0.3647,50.7743
0.3708,50.5968
0.3769,50.5598
0.3830,50.6661
0.3890,51.0184
0.3951,51.4525
0.4012,51.5620
0.4073,51.1435
0.4134,50.4671
0.4194,49.9607
0.4255,49.8539
0.4316,50.1815
0.4377,50.6683
0.4438,51.3090
0.4498,51.7766
0.4559,51.7641
0.4620,51.3381
0.4681,50.9029
0.4741,50.6186
0.4802,50.4244
0.4863,50.4635
0.4924,50.6604
0.4985,50.8331
0.5045,50.6757
0.5106,50.1923
0.5167,49.8908
0.5228,49.7366
0.5289,49.7213
0.5349,49.8291
0.5410,50.2054
0.5471,50.3583
0.5532,49.8975
0.5592,49.2819
0.5653,48.8551
0.5714,48.8365
0.5775,49.2278
0.5836,49.6468
0.5896,49.8520
0.5957,50.2938
0.6018,50.5107
0.6079,50.3566
0.6140,49.9427
0.6200,49.7231
0.6261,49.8152
0.6322,49.9539
0.6383,50.1018
0.6444,50.2674
0.6504,50.2234
0.6565,49.8517
0.6626,49.5043
0.6687,49.2770
0.6747,49.1759
0.6808,49.0906
0.6869,49.0318
0.6930,48.8618
0.6991,48.8114
0.7051,48.9019
0.7112,49.0797
0.7173,49.1916
0.7234,49.2056
0.7295,49.1271
0.7355,49.0252
0.7416,49.0182
0.7477,49.1077
0.7538,49.0167
0.7598,48.6857
0.7659,48.3505
0.7720,48.3236
0.7781,48.4902
